"No","권장일자","그룹","분류","URL","우선순위","비고"
"1","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/","높음",""
"2","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/about","높음",""
"3","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects","높음",""
"4","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/blog","높음",""
"5","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/news","높음",""
"6","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/contact","높음",""
"7","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/sellerai","높음",""
"8","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/tools","높음",""
"9","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/rewardtalk","높음",""
"10","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/travelmoa","높음",""
"11","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/cocoping","높음",""
"12","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/rankingpangpang","높음",""
"13","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/photosort","높음",""
"14","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/projects/hoosamgukji","높음",""
"15","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/news/sellerai-launch","높음",""
"16","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/news/company-direction","높음",""
"17","1일차","A","허브·서비스·뉴스","https://www.armes.co.kr/blog/category/costco","높음",""
"18","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/costco-weekly-deals","높음",""
"19","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/costco-membership-worth","높음",""
"20","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/costco-best-value-items","높음",""
"21","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/costco-price-tag-secrets","높음",""
"22","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/cheapest-gas-station","높음",""
"23","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/self-gas-discount-card","높음",""
"24","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/premium-vs-regular-gas","높음",""
"25","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/cheap-flight-timing","높음",""
"26","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/travel-deal-alerts","높음",""
"27","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/package-vs-free-travel","높음",""
"28","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/ev-charging-cost-saving","높음",""
"29","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/ev-charger-finder","높음",""
"30","1일차","B","생활정보 블로그(네이버강세)","https://www.armes.co.kr/blog/free-image-converter","높음",""
